,az,el,datetime(utc)
81,75.08085138160271,3.3977173751431975,2025-11-27 18:00:43.383
82,75.08085139071237,3.5057609080818493,2025-11-27 18:00:43.483
83,75.08085140025564,3.6137794769709584,2025-11-27 18:00:43.581
84,75.08085140999707,3.721772323294034,2025-11-27 18:00:43.682
85,75.08085141939107,3.829738688355977,2025-11-27 18:00:43.783
86,75.08085142895047,3.9376778165555755,2025-11-27 18:00:43.882
87,75.08085143837624,4.04558895183363,2025-11-27 18:00:43.982
88,75.09039693663448,4.150882779374513,2025-11-27 18:00:44.084
89,75.09039694635013,4.258668952956249,2025-11-27 18:00:44.184
90,75.09039695621544,4.366424930550244,2025-11-27 18:00:44.284
91,75.12909258602608,4.474950398655504,2025-11-27 18:00:44.385
92,75.1290925964398,4.582662838345407,2025-11-27 18:00:44.486
