Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Target 14,,,,,,,-67.78676599,-22.96027912,5180.126,Global,"2,6",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:41:53.4 UTC-03:00,2025-11-27 10:41:53.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,51.356,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 10,,,,,,,-67.78689451,-22.96049403,5180.269,Global,"3,5",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:42:34.6 UTC-03:00,2025-11-27 10:42:34.6 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,74.619,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 32,,,,,,,-67.78635265,-22.96075922,5176.640,Global,"1,0",0.012,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-11-27 10:44:01.4 UTC-03:00,2025-11-27 10:44:01.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,115.836,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 24,,,,,,,-67.78697745,-22.96078000,5180.723,Global,"3,7",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:46:04.2 UTC-03:00,2025-11-27 10:46:04.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,106.866,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 26,,,,,,,-67.78716183,-22.96073948,5182.371,Global,"2,9",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:46:58.6 UTC-03:00,2025-11-27 10:46:58.6 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,106.513,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 39,,,,,,,-67.78716999,-22.96095108,5182.652,Global,"3,1",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:47:35.8 UTC-03:00,2025-11-27 10:47:35.8 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,129.377,,SC globale,9,6,6,7,0,Reach RS3,824351435C6D6A75
Target 25,,,,,,,-67.78678801,-22.96105193,5178.225,Global,"5,5",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:49:32.4 UTC-03:00,2025-11-27 10:49:32.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,136.544,,SC globale,9,7,6,7,0,Reach RS3,824351435C6D6A75
Target 31,,,,,,,-67.78732631,-22.96119843,5184.568,Global,"3,6",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:51:12.0 UTC-03:00,2025-11-27 10:51:12.0 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,160.100,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 21,,,,,,,-67.78732400,-22.96133784,5183.956,Global,"2,1",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:51:48.0 UTC-03:00,2025-11-27 10:51:48.0 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,174.933,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Target 20,,,,,,,-67.78724238,-22.96150667,5180.732,Global,"5,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:52:57.2 UTC-03:00,2025-11-27 10:52:57.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,190.990,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 5,,,,,,,-67.78750917,-22.96146237,5185.258,Global,"3,3",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:53:51.0 UTC-03:00,2025-11-27 10:53:51.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,193.905,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 34,,,,,,,-67.78764579,-22.96123069,5187.238,Global,"4,2",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:54:35.4 UTC-03:00,2025-11-27 10:54:35.4 UTC-03:00,1,1.1,1.3,,,,-67.78685015,-22.95982209,5183.606,176.322,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 16,,,,,,,-67.78774021,-22.96147245,5187.786,Global,"1,4",0.012,0.012,0.011,0.016,1.734,m,FIX,RTK,2025-11-27 10:55:38.6 UTC-03:00,2025-11-27 10:55:38.6 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,204.587,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 15,,,,,,,-67.78793391,-22.96130589,5189.529,Global,"4,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 10:56:23.0 UTC-03:00,2025-11-27 10:56:23.0 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,198.782,,SC globale,8,7,5,7,0,Reach RS3,824351435C6D6A75
Target 12,,,,,,,-67.78802969,-22.96110137,5188.493,Global,"3,1",0.012,0.012,0.011,0.017,1.734,m,FIX,RTK,2025-11-27 10:56:57.2 UTC-03:00,2025-11-27 10:56:57.2 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,186.638,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base,,,,,,,-67.78757165,-22.96074179,5185.687,Global,"5,3",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 11:00:31.8 UTC-03:00,2025-11-27 11:00:31.8 UTC-03:00,1,1.1,1.2,,,,-67.78685015,-22.95982209,5183.606,126.033,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base1,,,,,,,-67.78757154,-22.96074163,5185.695,Global,"5,4",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 11:01:17.8 UTC-03:00,2025-11-27 11:01:17.8 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,126.019,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
Rolando’s Emlid Base2,,,,,,,-67.78757153,-22.96074163,5185.695,Global,"5,4",0.012,0.012,0.012,0.017,1.734,m,FIX,RTK,2025-11-27 11:01:20.4 UTC-03:00,2025-11-27 11:01:20.4 UTC-03:00,1,1.0,1.2,,,,-67.78685015,-22.95982209,5183.606,126.019,,SC globale,9,7,5,7,0,Reach RS3,824351435C6D6A75
